시군명,인허가일자,영업상태명,업체수
양평군,20220426,정상,1
김포시,20220428,정상,1
고양시,20220503,정상,1
파주시,20220504,정상,1
고양시,20220509,정상,1
평택시,20220511,정상,1
파주시,20220607,정상,1
김포시,20220608,정상,1
화성시,20220608,정상,1
양평군,20220609,정상,1
파주시,20220609,정상,1
양주시,20220610,정상,1
안성시,20220610,정상,1
화성시,20220615,정상,1
평택시,20220621,정상,1
용인시,20220622,정상,1
파주시,20220704,정상,1
파주시,20220704,정상,1
김포시,20220705,정상,1
화성시,20220705,정상,1
고양시,20220706,정상,1
고양시,20220706,정상,1
고양시,20220706,정상,1
안양시,20220707,정상,1
화성시,20220707,정상,1
김포시,20220711,정상,1
구리시,20220711,정상,1
고양시,20220711,정상,1
양주시,20220712,정상,1
양주시,20220712,정상,1
안양시,20220713,정상,1
안양시,20220713,정상,1
가평군,20220714,정상,1
김포시,20220714,정상,1
여주시,20220714,정상,1
가평군,20220714,정상,1
광주시,20220719,정상,1
파주시,20220719,정상,1
구리시,20220719,정상,1
파주시,20220719,정상,1
남양주시,20220719,정상,1
안양시,20220719,정상,1
안양시,20220722,정상,1
파주시,20220724,정상,1
고양시,20220725,정상,1
양주시,20220726,정상,1
김포시,20220729,정상,1
김포시,20220729,정상,1
김포시,20220729,정상,1
광주시,20220729,정상,1
이천시,20220801,정상,1
안양시,20220801,정상,1
고양시,20220801,정상,1
파주시,20220801,정상,1
고양시,20220802,정상,1
고양시,20220802,정상,1
광주시,20220802,정상,1
안성시,20220802,정상,1
안양시,20220802,정상,1
남양주시,20220803,정상,1
안양시,20220803,정상,1
안양시,20220804,정상,1
고양시,20220805,정상,1
양주시,20220809,정상,1
양주시,20220809,정상,1
고양시,20220811,정상,1
여주시,20220812,정상,1
파주시,20220816,정상,1
평택시,20220816,정상,1
고양시,20220817,정상,1
양주시,20220818,정상,1
안양시,20220818,정상,1
여주시,20220818,정상,1
화성시,20220819,정상,1
용인시,20220819,정상,1
김포시,20220819,정상,1
파주시,20220822,정상,1
파주시,20220825,정상,1
안양시,20220825,정상,1
광주시,20220825,정상,1
파주시,20220825,정상,1
파주시,20220825,정상,1
파주시,20220825,정상,1
용인시,20220826,정상,1
광주시,20220826,정상,1
광주시,20220827,정상,1
김포시,20220829,정상,1
평택시,20220830,정상,1
평택시,20220830,정상,1
안산시,20220831,정상,1
안양시,20220831,정상,1
고양시,20220901,정상,1
포천시,20220902,정상,1
양주시,20220905,정상,1
양주시,20220905,정상,1
화성시,20220906,정상,1
구리시,20220907,정상,1
구리시,20220907,정상,1
고양시,20220907,정상,1
구리시,20220907,정상,1
평택시,20220908,정상,1
고양시,20220908,정상,1
고양시,20220908,정상,1
안양시,20220913,정상,1
광주시,20220913,정상,1
광주시,20220913,정상,1
광주시,20220915,정상,1
구리시,20220915,정상,1
구리시,20220915,정상,1
용인시,20220916,정상,1
김포시,20220919,정상,1
김포시,20220919,정상,1
이천시,20220919,정상,1
구리시,20220919,정상,1
고양시,20220919,정상,1
고양시,20220920,정상,1
양주시,20220921,정상,1
포천시,20220923,정상,1
포천시,20220923,정상,1
광주시,20220926,정상,1
고양시,20220927,정상,1
고양시,20220928,정상,1
파주시,20220928,정상,1
화성시,20220928,정상,1
구리시,20220928,정상,1
시흥시,20220930,정상,1
용인시,20220930,정상,1
고양시,20221004,정상,1
안양시,20221004,정상,1
양주시,20221005,정상,1
부천시,20221006,정상,1
고양시,20221007,정상,1
고양시,20221007,정상,1
평택시,20221011,정상,1
가평군,20221018,정상,1
